InvoiceNo,StockCode,User ID,Product ID,Name,Brand,Price,Category,SubCategory,Quantity,Description,Type,Rating,InvoiceDate,time stamp,image link,Country
536367,22745,A2ANB0YF7J5VBB,972683275,Alpenliebe Eclairs Choco Caramel Pouch,Chocoliebe,50,Packaged Food,Sweets,136,"OverviewAlpenliebe eclairs plus is a unique round shaped choco caramel eclairs. It's every bite promises to give an indulging, smooth, choco chew experience that leaves one craving for more. Key FeaturesVegetarianA soft Caramel exterior with a blast of Chocolate inside.It is a much-loved eclair candy loved by all age groups.It is not just an Eclair but Eclairs Plus because its superior non-sticky texture does not stick to your teeth. Storage conditionStore in a cool and dry place. Shelf lifeBest before 12 months from Packaging date.",Packaged Food > Sweets,5,12-01-2010 08:34,1396396800,,United Kingdom
536367,22748,A3VMCFOCPL3R7Q,972683275,Alpro-Blueberry-Soyghurt,Soyghurt,50,juices,groceries,1,fruitdrinksandothertypeofliquidslikemilkandall,liquids,5,12-01-2010 08:34,1359763200,,United Kingdom
536367,22749,AL29YSP075B3G,972683275,Alpro-Fresh-Soy-Milk,Soy-Milk,50,juices,groceries,1,fruitdrinksandothertypeofliquidslikemilkandall,liquids,5,12-01-2010 08:34,1377820800,,United Kingdom
536367,22310,A3P1AEV6KGPSYM,972683275,Alpro-Shelf-Soy-Milk,Soy-Milk,50,juices,groceries,1,fruitdrinksandothertypeofliquidslikemilkandall,liquids,4,12-01-2010 08:34,1383436800,,United Kingdom
536367,84969,A2C4YXP64SJSDR,972683275,Alpro-Vanilla-Soyghurt,Soyghurt,50,juices,groceries,1,fruitdrinksandothertypeofliquidslikemilkandall,liquids,5,12-01-2010 08:34,1321056000,,United Kingdom
536367,22623,A3RCX7Z7I9G2MF,972683275,Ambemohar Rice,,650,Grocery,Grocery/Rice & Rice Products,5,"OverviewAmbemohar rice is short-grained aromatic rice and has the most economical and versatile cooking nature.Key Features- It is a rich source of energy and essential vitamins.- Ambemohar rice is used to prepare a thick soup of rice and milk called 'Bhatachi Pej' mainly for children, elderly people, and patients.- Reduces cholesterol.- Helps in regulating and lowering blood pressure.Storage ConditionStore in a cool and dry place.",Grocery > Grocery/Rice & Rice Products,5,12-01-2010 08:34,1388966400,,United Kingdom
536367,22622,A1079KKA0AXSL3,972683275,Amrut Dhana Dal,Amrut,95,Grocery,Masala & Spices,200,"Key Features Healthy & Tasty Mukhwas, Crunchy Mukhwas How to Use After Meal Or Enjoy It In Small Bites Any Time You Like Any Other Must-Know InformationLarge pouch Amrut dhana dal  Having Mukhwas (Mouth Freshener) after meals is sort of a tradition in India, but offering it is the tradition of hospitality industry.Amrut Dhana dals large pouch is something on the priority list of every restaurant and hotel that is stocking up its refreshment offerings BenefitsCoriander seeds are anti-bacterial, anti-microbial and anti-inflammatory in nature, and hence, consuming Dhana dal after meals can have many medicinal benefits.Freshens your breathBoosts your immune systemRefreshing after-meal mouth freshenerImproves oral healthAbout the BrandSince last 50 years Dhana dal & Mukhwas has been offering every meal an ending it deserves. Taking this legacy forward since 2007 is Amrut Dhana dal.AMRUT- One of the leading manufacturers of Dhana dal, Mukhwas Rajgara Aata, has today emerged as Brand that is a synonym of trust. With the use of high-quality of raw material and natural goodness of ingredients, today the name AMRUT stands for Quality.Standing tall on the pillars of Quality, Expertise and Innovation, AMRUT has been repeatedly underlining its position as the market leader.",Grocery > Masala & Spices,4,12-01-2010 08:34,1326067200,,United Kingdom
536367,21754,A3SWF9UXQAEK9Q,972683275,Amul Chocominis Chocolate Box,Amul,140,Packaged Food,Sweets,250,"OverviewAmul Choco Minis are tasty and fun time chocolates made with the goodness of rich creamy milk and delicious cocoa. Indulge in the exquisite taste of Amul Choco Minis that are packed with cocoa and cream. Key Features- Delicious - LightDisclaimerDespite our attempts to provide you with the most accurate information possible, the actual packaging, ingredients and colour of the product may sometimes vary. Please read the label, directions and warnings carefully before use.",Packaged Food > Sweets,5,12-01-2010 08:34,1372291200,,United Kingdom
536367,21755,AY0BL2JD0GAFT,594481813,Amul Cow Ghee Pouch,Amul,540,Grocery,Ghee & Vanaspati,1,"
Ghee is very healthy for our Body. 1 spoon a day of Ghee keeps you fit & strong in this fast life where we need to be active & energetic always. Ghee can be consumed for better digestion and it stimulates muscle movements, strengthens the sense organ, nourishes the skin and improves complexion. Ghee is a good source of energy and provides vitality to the human body. Amul Cow Ghee is made from fresh cream and it has typical rich aroma and granular texture. Amul Ghee is an ethnic product made by dairies with decades of experience, and is a rich source of Vitamin A, D, E and K.
",Grocery > Ghee & Vanaspati,5,12-01-2010 08:34,1399248000,,United Kingdom
536367,21777,A1WI6CDE40JSDZ,972683275,Amul Dark Chocolate,Amul,110,Packaged Food,Packaged Food,150,"OverviewAmul Dark Chocolate is made with the finest ingredients and rich cocoa. Its strong flavour and silky texture is just what you need to fall in love with pure cocoa for its authentic taste.IngredientsSugar, Cocoa Solids, Cocoa Butter, Permitted Emulsifiers (E322, E476). Contains Added Flavours (Artificial Flavouring Substances - Cocoa and Vanilla).How to UseThis chocolate is a treat that can be unwrapped anytime, anywhere. It is the perfect sweet snack for someone with a sweet tooth, and is favoured by children as well as adults!",Packaged Food,5,12-01-2010 08:34,1356912000,,United Kingdom
536367,48187,A14RTWD2KSOEOD,972683275,Amul Kaju Katri,Amul,435,Packaged Food,Sweets,500,"OverviewAmul Kaju Katri is made of premium ingredients and under extreme hygienic conditions of Amul standards. Amul Kaju Katri contains the highest quality premium cashews compared to most available local kaju katri. Serve as a dessert in any festival and auspicious occasions. This attractive box of kaju katri can also be used for gifting. Key Features 100% Machine Made & Hygienic100% VegetarianSilver Leaf Used Composition Minimum 55% cashew nuts, sugar, silver foil Shelf Life Best before 75 days from packaging. Storage ConditionUnder refrigeration (between 15°C to 20°C).Keep away from direct sunlight.",Packaged Food > Sweets,5,12-01-2010 08:34,1366156800,,United Kingdom
536368,22960,A29GANDIIX0H4Y,972683275,Amul Kaju Katri,Amul,190,Packaged Food,Sweets,200,"OverviewAmul Kaju Katri is made of premium ingredients and under extreme hygienic conditions of Amul standards. Amul Kaju Katri contains the highest quality premium cashews compared to most available local kaju katri. Serve as a dessert in any festival and auspicious occasions. This attractive box of kaju katri can also be used for gifting. Key Features 100% Machine Made & Hygienic100% VegetarianSilver Leaf Used Composition Minimum 55% cashew nuts, sugar, silver foil Shelf Life Best before 75 days from packaging. Storage ConditionUnder refrigeration (between 15°C to 20°C).Keep away from direct sunlight.",Packaged Food > Sweets,1,12-01-2010 08:34,1322611200,,United Kingdom
536368,22913,A2VN9A89NJ9TPZ,972683275,Amul Kesar Peda,Amul,115,Packaged Food,Sweets,200,"OverviewAmul Fresh sweets are traditional Indian dairy products. These sweets are a part of every occasion and every meal. This delicious sweet will melt in your mouth and will please all your tastebuds. Perfect for guests, spread some sweet love with Amul Kesar Peda.Ingredients- Milk Solids, Sugar, Ghee, Liquid, Glucose, Cardamom",Packaged Food > Sweets,5,12-01-2010 08:34,1388707200,,United Kingdom
536368,22912,A180BZHVJIRWBZ,972683275,Amul Malai Peda,Amul,110,Packaged Food,Sweets,200,"OverviewAmul Fresh sweets are traditional Indian dairy product, and a part of every occasion and every meal. This delicious sweet will melt in your mouth and will please all your tastebuds. Perfect for guests, spread some sweet love with Amul Malai Peda.IngredientsMilk Solids, Sugar, Cardamom",Packaged Food > Sweets,4,12-01-2010 08:34,1319241600,,United Kingdom
536368,22914,A1KM3IPZ9H0JKZ,972683275,Amul Milk Cake,Amul,115,Packaged Food,Sweets,200,"OverviewAmul sweets are traditional Indian dairy product, and a part of every occasion and every meal. This delicious sweet will melt in your mouth and will please all your tastebuds. Perfect for guests, spread some sweet love with Amul Milk Cake.IngredientsMilk Solids, Sugar, Ghee, Liquid Glucose, Cardamom, Permitted Class II Preservatives (E202, E210).",Packaged Food > Sweets,4,12-01-2010 08:34,1390867200,,United Kingdom
536369,21756,A260COKJRRVS3U,594481813,Amul Pure Ghee Pouch,Amul,265,Grocery,Ghee & Vanaspati,500,India,Grocery > Ghee & Vanaspati,5,12-01-2010 08:35,1401840000,,United Kingdom
536370,22728,A1T8TP4OHT5T13,594481813,Amul Pure Ghee Pouch,Amul,545,Grocery,Ghee & Vanaspati,1,India,Grocery > Ghee & Vanaspati,4,12-01-2010 08:45,1399420800,,France
536370,22727,A3RV0ZUIEOM0TX,594481902,Amul Pure Ghee Tin,Amul,560,Grocery,Ghee & Vanaspati,1,"
Ghee is very healthy for our Body. 1 spoon a day of Ghee keeps you fit & strong in this fast life where we need to be active & energetic always. Ghee can be consumed for better digestion. Ghee stimulates muscle movements, strengthen the sense organ, nourish the skin and improves complexion. Ghee is a good source of energy and provides vitality to the human body. Amul Ghee is made from fresh cream and it has typical rich aroma and granular texture. Amul Ghee is an ethnic product made by dairies with decades of experience, and rich source of Vitamin A, D, E and K.
",Grocery > Ghee & Vanaspati,5,12-01-2010 08:45,1384473600,,France
536370,22726,AAWFWZ2K9WTV1,594481902,Amul Pure Ghee Tin,Amul,2750,Grocery,Ghee & Vanaspati,5,"
Ghee is very healthy for our Body. 1 spoon a day of Ghee keeps you fit & strong in this fast life where we need to be active & energetic always. Ghee can be consumed for better digestion. Ghee stimulates muscle movements, strengthen the sense organ, nourish the skin and improves complexion. Ghee is a good source of energy and provides vitality to the human body. Amul Ghee is made from fresh cream and it has typical rich aroma and granular texture. Amul Ghee is an ethnic product made by dairies with decades of experience, and rich source of Vitamin A, D, E and K.
",Grocery > Ghee & Vanaspati,5,12-01-2010 08:45,1395619200,,France
536370,21724,A1N7QSP1U513KJ,972683275,Anjou,Pear,400,fruits,groceries,1,fruitsbenefitedwithmanyvitaminsandnutrients,fruitsandveggies,5,12-01-2010 08:45,1361059200,,France
536370,21883,A19QVO6ZINIZHS,972683275,Apple Red Delicious,Apple,180,Fruits & Vegetables,Fruits & Vegetables,4,"OverviewAn Apple a day keeps the doctor away. Red Delicious Apples are crunchy juicy and sweet. They are extremely beneficial for your family's health. They are a good source of Fibre and contain valuable anti-oxidants and poly-nutrients.
Key Features- The bright red coloured and heart shaped Red Delicious apples are crunchy, juicy and slightly sweet.- Rich in vitamin C and dietary fiber which keep our digestive and immune system healthy.- Red Delicious Apples are a natural source of fibre and are fat free.- Contain a wide variety of anti-oxidants and polynutrients.- Eating apple peel lowers the risk of obesity. Storage Information & Uses- Store them in a cool, dry place away from direct sunlight.- Wrap them with newspaper individually to keep them fresh for a long time. If any apple goes bad, it protects other apples from getting spoiled.- Take a cup of water, dissolve 1/8th teaspoon of salt in it. Soak freshly cut slices and drain them. Now, rinse them in fresh water so that they will not taste salty.- Can be eaten as a fresh fruit or used in salads, smoothies, cookies, pies.",Fruits & Vegetables,5,12-01-2010 08:45,1358035200,,France
536370,10002,A19A4GQJW67VOD,972683275,Apple Royal Gala (Seb),,225,Fruits & Vegetables,Fruits & Vegetables,4,"OverviewAn Apple a day keeps the doctor away. Red Delicious Apples are crunchy juicy and sweet. They are extremely beneficial for your family's health. They are a good source of Fibre and contain valuable anti-oxidants and poly-nutrients.Key Features- The bright red coloured and heart shaped Red Delicious apples are crunchy, juicy and slightly sweet.- Rich in vitamin C and dietary fiber which keep our digestive and immune system healthy.- Red Delicious Apples are a natural source of fibre and are fat free.- Contain a wide variety of anti-oxidants and polynutrients.- Eating apple peel lowers the risk of obesity. Storage Information & Uses- Store them in a cool, dry place away from direct sunlight.- Wrap them with newspaper individually to keep them fresh for a long time. If any apple goes bad, it protects other apples from getting spoiled.- Take a cup of water, dissolve 1/8th teaspoon of salt in it. Soak freshly cut slices and drain them. Now, rinse them in fresh water so that they will not taste salty.- Can be eaten as a fresh fruit or used in salads, smoothies, cookies, pies.",Fruits & Vegetables,5,12-01-2010 08:45,1373155200,,France
536370,21791,A2RUN82QPU60PN,972683275,Apple Shimla (Seb),,160,Fruits & Vegetables,Fruits & Vegetables,4,India,Fruits & Vegetables,3,12-01-2010 08:45,1362700800,,France
536370,21035,A9UFBRZV2I3U1,972683275,Ariel Colour Care Detergent,Ariel,360,Home & Kitchen,Detergent & Fabric Care,1,"
Ariel Colour is specially designed to help remove tough stains as well as prevent your coloured clothes from fading. Use Ariel Colour in your Semi-Automatic washing machine as well as in hand-wash to get impeccable cleaning and to help keep your colours bright. Powered by Ariel’s Colour Protection Technology, your favourite coloured clothes are safe with Ariel Colour.

Let your clothes reflect your style – impeccable & bright. And the compliments you will get when your colours stand out, is always an added benefit.
",Home & Kitchen > Detergent & Fabric Care,5,12-01-2010 08:45,1318550400,,France
536370,22326,AQV240XF36FSX,972683275,Ariel Complete Detergent Powder,Ariel,1370,Home & Kitchen,Detergent & Fabric Care,4,"OverviewNew & Improved Ariel Complete gives you tough stain removal for a bright clean in just 1 wash. Ariel Complete is uniquely designed to deliver outstanding results when used in a semi-automatic machine as well as when used as a hand wash detergent. Ariel Colour Care has New Oxi-stain fighters for clothes to stay clean and stain-free wash after wash. It also provides deep down cleaning and long-lasting freshness. Ariel Complete washing powder also provides deep down cleaning and long-lasting freshness. In just 1 scoop for normal loads and 1.5 scoops for heavy loads, it provides brilliant stain removal along with the value. Ariel Complete&rsquo;s cutting edge technology provides impeccable cleaning for all your clothes and removes tough stains like juice, chocolate, tomato and butter/ghee along with maintaining the brightness of the clothes. So now, say goodbye to stains and dullness!",Home & Kitchen > Detergent & Fabric Care,5,12-01-2010 08:45,1317168000,,France
536370,22629,AA24EMYGLX593,972683275,Ariel Complete Detergent Powder,Ariel,360,Home & Kitchen,Detergent & Fabric Care,1,"OverviewNew Ariel Complete Detergent Washing Powder gives you tough stain removal in just 1 wash. Designed to work in semi-automatic washing machine, Ariel gives brilliant results in both semi-automatic washing machine as well as in hand wash. Ariel dissolves in water completely to remove tough stains like juice, chocolate, tomato and butter/ghee. Perfect for all your clothes, Ariel washing powder helps to give you impeccable cleaning and keeps your clothes smelling fresh. Step out into the world with confidence knowing that you have Ariel as your partner in laundry.Key FeaturesFor semi-automatic machinesFor tough stain removalFresh smellHow to UseScoop for normal loads, and 1.5 scoops for heavy loadsBenefitsNew & Improved Ariel Complete gives you tough stain removal for a bright clean in just 1 washDelivers outstanding results when used in semi automatic machines and also when used as a handwash detergentBrightguard technology keeps your clothes bright wash after washCleans deep down and leaves long-lasting freshnessProvides impeccable cleaning for all your clothes thanks to its cutting edge technologyRemoves tough stains like juice, chocolate, tomato and butter/gheeAbout the BrandAriel leads the way in laundry detergent innovation. Thanks to near 50 years spent discovering what the women of this world need, Ariel has developed the staples of the laundry room throughout the ages.",Home & Kitchen > Detergent & Fabric Care,5,12-01-2010 08:45,1358985600,,France
536370,22659,A6FGKXU6ZPW64,972683275,Ariel Matic Front Load Detergent Washing Powder,Ariel,605,Home & Kitchen,Detergent & Fabric Care,2,"
*Actual packaging may vary from the Image

Note : Product in stock will be delivered basis availability
",Home & Kitchen > Detergent & Fabric Care,5,12-01-2010 08:45,1390953600,,France
536370,22631,ADSRJY1DRPL6Y,972683275,Ariel Matic Front Load Detergent Washing Powder,Ariel,870,Home & Kitchen,Detergent & Fabric Care,3,"OverviewThe new and improved Artiel Matic powder detergent provides your laundry with a tough stain removal while giving you a bright clean and long-lasting freshness after just 1 wash, even for full loads! Ariel Matics cutting edge technology offers an impeccable cleaning and helps your clothes maintain their brightness, so that you can say goodbye to stains and dullness forever!Key FeaturesFor front load machinescFor tough stain removalFresh smellHow to UseAdd 1 scoop of detergent for normal loadsAdd 1.5 scoops for heavy or badly soiled loadsBenefitsCleans all your clothes impeccably in just one washBrightguard technology keeps your clothes bright wash after washCleans deep down and leaves long-lasting freshnessProduces the right amount of foam in the machine to deliver superior cleaningRemoves tough stains like juice, chocolate, tomato and butter/gheeDesigned to be used in front loading machinesAbout the BrandAriel leads the way in laundry detergent innovation. Thanks to near 50 years spent discovering what the women of this world need, Ariel has developed the staples of the laundry room throughout the ages.",Home & Kitchen > Detergent & Fabric Care,5,12-01-2010 08:45,1371254400,,France
536370,22661,AKSRGI790QOOT,972683275,Ariel Matic Front Load Detergent Washing Powder,Ariel,1380,Home & Kitchen,Detergent & Fabric Care,4,"OverviewThe new and improved Artiel Matic powder detergent provides your laundry with a tough stain removal while giving you a bright clean and long-lasting freshness after just 1 wash, even for full loads! Ariel Matics cutting edge technology offers an impeccable cleaning and helps your clothes maintain their brightness, so that you can say goodbye to stains and dullness forever!Key FeaturesFor front load machinescFor tough stain removalFresh smellHow to UseAdd 1 scoop of detergent for normal loadsAdd 1.5 scoops for heavy or badly soiled loadsBenefitsCleans all your clothes impeccably in just one washBrightguard technology keeps your clothes bright wash after washCleans deep down and leaves long-lasting freshnessProduces the right amount of foam in the machine to deliver superior cleaningRemoves tough stains like juice, chocolate, tomato and butter/gheeDesigned to be used in front loading machinesAbout the BrandAriel leads the way in laundry detergent innovation. Thanks to near 50 years spent discovering what the women of this world need, Ariel has developed the staples of the laundry room throughout the ages.",Home & Kitchen > Detergent & Fabric Care,5,12-01-2010 08:45,1388534400,,France
536370,21731,A4AF29Y2BHYEY,972683275,Ariel Matic Front Load Detergent Washing Powder,Ariel,285,Home & Kitchen,Detergent & Fabric Care,1,"OverviewThe new and improved Artiel Matic powder detergent provides your laundry with a tough stain removal while giving you a bright clean and long-lasting freshness after just 1 wash, even for full loads! Ariel Matics cutting edge technology offers an impeccable cleaning and helps your clothes maintain their brightness, so that you can say goodbye to stains and dullness forever!Key FeaturesFor front load machinescFor tough stain removalFresh smellHow to UseAdd 1 scoop of detergent for normal loadsAdd 1.5 scoops for heavy or badly soiled loadsBenefitsCleans all your clothes impeccably in just one washBrightguard technology keeps your clothes bright wash after washCleans deep down and leaves long-lasting freshnessProduces the right amount of foam in the machine to deliver superior cleaningRemoves tough stains like juice, chocolate, tomato and butter/gheeDesigned to be used in front loading machinesAbout the BrandAriel leads the way in laundry detergent innovation. Thanks to near 50 years spent discovering what the women of this world need, Ariel has developed the staples of the laundry room throughout the ages.",Home & Kitchen > Detergent & Fabric Care,3,12-01-2010 08:45,1376784000,,France
